order_id,sales,profit,quantity,category,sub_category,cost,total_cost,total_profit,order_date,customer_name,city,country,region,segment,ship_date,ship_mode,lon,lat,avg_profit
AZ-2011-1916360,288,20,2,furniture,bookcases,268,268,40,3/21/2011,Charles Builder,Cagliari,Italy,South,Consumer,3/23/2011,Economy Plus,9.1216613,39.2238411,42.22495756
AZ-2011-1916555,61,7,6,office supplies,storage,54,54,42,8/9/2011,Terence Welch,Altamura,Italy,South,Consumer,8/12/2011,Priority,16.5527874,40.8253924,25.89697347
AZ-2011-1930058,71,1,3,office supplies,art,70,70,3,12/2/2011,Matthew Gill,Villeurbanne,France,Central,Home Office,12/8/2011,Economy,4.8901709,45.771944,25.89697347
AZ-2011-1967754,132,54,5,office supplies,art,78,78,270,11/22/2011,Alta Nokes,Augsburg,Germany,Central,Home Office,11/29/2011,Economy,10.89779,48.3705449,25.89697347
AZ-2011-1967754,93,40,2,technology,accessories,53,53,80,11/22/2011,Alta Nokes,Augsburg,Germany,Central,Home Office,11/29/2011,Economy,10.89779,48.3705449,74.10472279
AZ-2011-1976919,97,12,2,office supplies,binders,85,85,24,12/20/2011,Lauren Saunders,Barcelona,Spain,South,Consumer,12/24/2011,Economy Plus,2.1734035,41.3850639,25.89697347
AZ-2011-2001312,52,19,4,office supplies,envelopes,33,33,76,10/22/2011,Harriet Chadwick,Preston,United Kingdom,North,Corporate,10/26/2011,Economy,-2.70309,53.763201,25.89697347
AZ-2011-2001312,136,15,4,office supplies,paper,121,121,60,10/22/2011,Harriet Chadwick,Preston,United Kingdom,North,Corporate,10/26/2011,Economy,-2.70309,53.763201,25.89697347
AZ-2011-2002251,58,8,2,office supplies,art,50,50,16,1/20/2011,Nathan Iqbal,Villiers-sur-Marne,France,Central,Consumer,1/25/2011,Economy,2.546798,48.825787,25.89697347
AZ-2011-201891,32,10,3,office supplies,labels,22,22,30,1/26/2011,Lori Miller,Madrid,Spain,South,Consumer,1/30/2011,Economy,-3.7037902,40.4167754,25.89697347
AZ-2011-2030946,144,35,3,office supplies,appliances,109,109,105,12/3/2011,Leroy Samson,Grenoble,France,Central,Home Office,12/8/2011,Economy,5.724524,45.188529,25.89697347
AZ-2011-2030946,41,1,2,office supplies,storage,40,40,2,12/3/2011,Leroy Samson,Grenoble,France,Central,Home Office,12/8/2011,Economy,5.724524,45.188529,25.89697347
AZ-2011-2079755,990,149,5,furniture,bookcases,841,841,745,12/5/2011,Joyce Cornell,Cartagena,Spain,South,Consumer,12/8/2011,Priority,-0.9965839,37.6256827,42.22495756
AZ-2011-2079755,17,7,2,office supplies,fasteners,10,10,14,12/5/2011,Joyce Cornell,Cartagena,Spain,South,Consumer,12/8/2011,Priority,-0.9965839,37.6256827,25.89697347
AZ-2011-209146,152,49,3,office supplies,art,103,103,147,6/22/2011,Charlie Horrocks,Messina,Italy,South,Consumer,6/27/2011,Economy,15.5540152,38.1938137,25.89697347
AZ-2011-2099050,46,8,3,office supplies,art,38,38,24,12/30/2011,Evie Morton,Naples,Italy,South,Consumer,1/2/2012,Priority,14.2681244,40.8517746,25.89697347
AZ-2011-2099050,116,42,5,office supplies,paper,25,74,210,12/30/2011,Evie Morton,Naples,Italy,South,Consumer,1/2/2012,Priority,14.2681244,40.8517746,25.89697347
AZ-2011-2099050,359,179,3,technology,copiers,180,180,537,12/30/2011,Evie Morton,Naples,Italy,South,Consumer,1/2/2012,Priority,14.2681244,40.8517746,74.10472279
AZ-2011-2112563,51,18,3,office supplies,art,33,33,54,5/10/2011,Francesca Bowen,Champigny-sur-Marne,France,Central,Consumer,5/15/2011,Economy,2.515556,48.817049,25.89697347
AZ-2011-2112563,292,87,4,technology,machines,150,205,348,5/10/2011,Francesca Bowen,Champigny-sur-Marne,France,Central,Consumer,5/15/2011,Economy,2.515556,48.817049,74.10472279
AZ-2011-211681,1036,321,6,furniture,bookcases,715,715,1926,11/4/2011,Madison Rowley,Wolverhampton,United Kingdom,North,Consumer,11/9/2011,Economy,-2.12882,52.586973,42.22495756
AZ-2011-211681,26,10,2,office supplies,binders,16,16,20,11/4/2011,Madison Rowley,Wolverhampton,United Kingdom,North,Consumer,11/9/2011,Economy,-2.12882,52.586973,25.89697347
AZ-2011-2118516,230,81,6,office supplies,paper,49,149,486,6/7/2011,Madeline Crooks,Norwich,United Kingdom,North,Consumer,6/11/2011,Economy,1.297355,52.6308859,25.89697347
AZ-2011-2118516,53,22,2,office supplies,supplies,31,31,44,6/7/2011,Madeline Crooks,Norwich,United Kingdom,North,Consumer,6/11/2011,Economy,1.297355,52.6308859,25.89697347
AZ-2011-2141552,82,3,3,office supplies,supplies,79,79,9,10/31/2011,Craig Rayner,Pozzuoli,Italy,South,Consumer,11/2/2011,Priority,14.0932861,40.8459469,25.89697347
AZ-2011-2143841,289,48,3,furniture,furnishings,241,241,144,6/8/2011,Joseph Locke,Berlin,Germany,Central,Corporate,6/12/2011,Economy,13.404954,52.5200066,42.22495756
AZ-2011-2143841,91,30,8,office supplies,binders,8,61,240,6/8/2011,Joseph Locke,Berlin,Germany,Central,Corporate,6/12/2011,Economy,13.404954,52.5200066,25.89697347
AZ-2011-2143841,113,-13,3,technology,accessories,126,126,-39,6/8/2011,Joseph Locke,Berlin,Germany,Central,Corporate,6/12/2011,Economy,13.404954,52.5200066,74.10472279
AZ-2011-2143841,860,0,3,technology,copiers,860,860,0,6/8/2011,Joseph Locke,Berlin,Germany,Central,Corporate,6/12/2011,Economy,13.404954,52.5200066,74.10472279
AZ-2011-2148580,65,25,1,technology,phones,40,40,25,8/3/2011,Demi Power,Passau,Germany,Central,Consumer,8/6/2011,Economy Plus,13.4319466,48.5667364,74.10472279
AZ-2011-2169445,47,7,7,office supplies,labels,40,40,49,3/21/2011,Aaron Bootman,Marsala,Italy,South,Consumer,3/24/2011,Priority,12.4370156,37.798045,25.89697347
AZ-2011-2169445,105,42,3,office supplies,supplies,63,63,126,3/21/2011,Aaron Bootman,Marsala,Italy,South,Consumer,3/24/2011,Priority,12.4370156,37.798045,25.89697347
AZ-2011-2169445,82,14,2,technology,phones,68,68,28,3/21/2011,Aaron Bootman,Marsala,Italy,South,Consumer,3/24/2011,Priority,12.4370156,37.798045,74.10472279
AZ-2011-2179552,1266,323,3,furniture,tables,943,943,969,6/6/2011,Pamela Searles,London,United Kingdom,North,Home Office,6/10/2011,Economy,-0.1277583,51.5073509,42.22495756
AZ-2011-2189408,194,73,3,technology,phones,121,121,219,5/15/2011,Edward Hodges,Neuilly-sur-Marne,France,Central,Consumer,5/19/2011,Economy Plus,2.528373,48.856898,74.10472279
AZ-2011-2201547,94,14,7,office supplies,paper,80,80,98,7/13/2011,Lola Hughes,Bideford,United Kingdom,North,Consumer,7/18/2011,Economy,-4.206666,51.016684,25.89697347
AZ-2011-2201547,194,0,4,office supplies,storage,194,194,0,7/13/2011,Lola Hughes,Bideford,United Kingdom,North,Consumer,7/18/2011,Economy,-4.206666,51.016684,25.89697347
AZ-2011-2202582,152,7,2,furniture,chairs,145,145,14,9/20/2011,Noah Hart,Drancy,France,Central,Consumer,9/23/2011,Economy Plus,2.445676,48.924298,42.22495756
AZ-2011-2222024,34,-6,2,office supplies,paper,40,40,-12,1/12/2011,Viola Watson,Sheffield,United Kingdom,North,Consumer,1/15/2011,Priority,-1.470085,53.381129,25.89697347
AZ-2011-2223205,113,25,2,office supplies,storage,88,88,50,8/25/2011,Madison Rowley,Vertou,France,Central,Consumer,8/25/2011,Immediate,-1.473378,47.168194,25.89697347
AZ-2011-2245674,12,3,2,office supplies,binders,9,9,6,1/22/2011,Dylan Disney,Leuven,Belgium,Central,Home Office,1/26/2011,Economy,4.7005176,50.8798438,25.89697347
AZ-2011-2245674,666,120,5,office supplies,storage,546,546,600,1/22/2011,Dylan Disney,Leuven,Belgium,Central,Home Office,1/26/2011,Economy,4.7005176,50.8798438,25.89697347
AZ-2011-2270958,1003,-943,4,furniture,tables,1946,1946,-3772,2/21/2011,Eva Hargraves,Milan,Italy,South,Consumer,2/26/2011,Economy,9.1859243,45.4654219,42.22495756
AZ-2011-2270958,164,78,3,office supplies,art,86,86,234,2/21/2011,Eva Hargraves,Milan,Italy,South,Consumer,2/26/2011,Economy,9.1859243,45.4654219,25.89697347
AZ-2011-2270958,29,-13,1,office supplies,storage,42,42,-13,2/21/2011,Eva Hargraves,Milan,Italy,South,Consumer,2/26/2011,Economy,9.1859243,45.4654219,25.89697347
AZ-2011-2270958,30,-5,1,technology,machines,35,35,-5,2/21/2011,Eva Hargraves,Milan,Italy,South,Consumer,2/26/2011,Economy,9.1859243,45.4654219,74.10472279
AZ-2011-2273790,185,17,7,office supplies,art,168,168,119,8/11/2011,Leah Barrett,Bologna,Italy,South,Consumer,8/13/2011,Priority,11.3426163,44.494887,25.89697347
AZ-2011-2273790,155,28,3,office supplies,binders,127,127,84,8/11/2011,Leah Barrett,Bologna,Italy,South,Consumer,8/13/2011,Priority,11.3426163,44.494887,25.89697347
AZ-2011-231889,36,12,2,office supplies,art,24,24,24,4/15/2011,Molly Palmer,Montigny-le-Bretonneux,France,Central,Corporate,4/17/2011,Economy Plus,2.0360157,48.7738734,25.89697347
AZ-2011-2320734,13,2,1,office supplies,paper,11,11,2,10/20/2011,Charlie Wells,Saint-Ouen,France,Central,Home Office,10/25/2011,Economy,2.333764,48.911856,25.89697347
AZ-2011-2369759,25,10,2,office supplies,fasteners,15,15,20,8/18/2011,Rory Jess,London,United Kingdom,North,Home Office,8/20/2011,Economy Plus,-0.1277583,51.5073509,25.89697347
AZ-2011-2369759,72,4,2,technology,machines,68,68,8,8/18/2011,Rory Jess,London,United Kingdom,North,Home Office,8/20/2011,Economy Plus,-0.1277583,51.5073509,74.10472279
AZ-2011-2389500,554,144,12,office supplies,supplies,410,410,1728,6/29/2011,Jack Brier,Paris,France,Central,Consumer,7/3/2011,Economy,2.3522219,48.856614,25.89697347
